Jugador,25/05/2026,19/05/2026,13/05/2026,07/05/2026,01/05/2026,24/04/2026,18/04/2026,12/04/2026,06/04/2026,30/03/2026,24/03/2026,17/03/2026,11/03/2026,05/03/2026,27/02/2026,20/02/2026,14/02/2026,08/02/2026,01/02/2026,26/01/2026,20/01/2026,14/01/2026,08/01/2026,01/01/2026,26/12/2025,20/12/2025,13/12/2025,07/12/2025,02/12/2025,26/11/2025,19/13/2025,13/11/2025,07/11/2025,30/10/2025,25/10/2025,19/10/2025,13/10/2025,06/10/2025,30/09/2025,24/09/2025,18/09/2025,11/09/2025,05/09/2025,30/08/2025,24/08/2025,17/08/2025,10/08/2025,04/08/2025,28/07/2025,22/07/2025,15/07/2025,08/07/2025,01/07/2025
Maath JTM Faselli,14400,14400,14400,14400,14400,10800,10800,14400,13500,14400,14400,14400,12600,14400,13400,13500,12600,14400,10800,11250,11250,11250,11250,11100,11400,11250,9945,10000,9450,9450,7650,7500,6900,6900,5850,6000,6000,6000,5670,4650,4650,3450,3750,3750,3750,2460,3450,3300,3260,3150,3000,3000,2700
Garrick,7200,7200,3600,0,7200,3600,7200,7200,9840,7200,12600,3600,0,0,7200,7200,13500,13500,7200,9000,9900,10800,10800,9580,9560,9795,7320,6720,7190,6630,6630,0,6690,6570,3750,3750,6750,7350,5550,7350,7350,7470,7200,6300,6600,6240,6165,6240,5220,4350,4350		
PequeñoPadawan,8400,8400,8400,8400,8400,8400,8400,8100,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400,7335,7245,7150,7110,7130,7110,7150,7130,7160,7050,6900,6200,6900,6900,6900,6510,6510,6510,5040,6000,5610,4600,4582,4580,4580,4600,4200,3420,3300,3320,3080,2550,2350,2550,1500
Gita,6900,7750,7710,7750,7790,7730,7630,7800,7850,7690,7830,7790,3600,6720,4940,5730,4470,6882,6352,6465,6810,6750,6487,5420,5820,5437,5092,4900,4100,4060,4020,3430,3810,3960,3835,3620,3340,3287,3060,2860,2442,1040,2530,2700,2290,2500,2460,1800,1800,1800,2120,1500,1800
Ben,7620,7600,7350,7410,7350,7200,7080,7080,6300,6900,6600,6600,6870,6630,6300,6300,6290,6570,5700,5330,5700,4035,4950,4650,4650,4650,4650,4500,4350,4340,4350,4267,4280,4282,4252,4280,4050,4252,3400,3300,3372,3410,3300,3300,3290,3380,3180,3000,3000,2360,2340,2130,1750
GRANJEDI Tito1,7500,7500,7500,7200,7200,7200,7200,7200,7200,7200,7065,6900,6300,6300,6300,6300,6240,5540,4940,4950,4910,4800,4200,3900,3900,3900,3540,3150,3080,3000,2620,2602,2570,2610,2700,2600,2550,2482,2480,2460,2452,2400,2100,1800,1800,1800,1800,1800,1800,1800,1720,1280,862
Viula Dourshe,7500,7500,7500,7500,7420,7200,7090,7150,6600,6800,6790,6790,6640,6600,6620,3900,6620,6600,6600,6450,6750,6532,6600,6450,3750,3787,3525,3500,3440,3300,3150,3150,2880,2200,2550,2290,1960,1645,1690,1710,1760,1720,1720,1470,1420,1440,955,1350,1300,1070,1050,742,478
Temnyy,7200,7200,7200,6900,6300,6600,6000,6000,6300,3600,6450,3600,6000,3600,6600,5400,6600,6000,6600,3660,3900,3750,3750,2700,3300,2550,2550,2400,2400,2100,2100,2100,2100,1420,1425,1200,1120,1200,1200,1190,1435,900,1100,1380,1410,1340,1180,1180,1010,975,750,750,750
VIRUS,6000,7050,7132,6150,5400,6000,5290,3600,4717,5250,4200,5100,5100,4950,4290,2700,3240,4950,5025,4950,4950,4800,3600,4170,3480,3900,2100,2400,2340,2400,1500,1420,1420,1160,915		0,385,260,285,275,475,515,240,575,205,135,275,460,405,560,130,465
Kid Danger,6450,6450,6950,6450,6450,6450,6450,6750,6660,6750,6300,6450,6450,6470,6750,6300,6600,6810,6270,6450,5850,6450,5890,5190,4820,2960,1950,3240,2700,2600,1950,1945,1750																				
Mik Bat,6220,6635,6750,6640,6385,6340,6500,6705,6580,6485,6230,6250,6260,6000,5940,5400,5685,5255,5455,5325,5520,5350,5410,5100,5180,0,4950,5030,4990,4540,4200,4027,3740,3615,2880,2670,2920,2220,1590,2040,1930,2100,1860,1740,1750,1700,0,1330,0,1180,1020,1350,1380
Cente,6600,6390,5600,5460,4400,5332,4800,5595,5482,5257,5070,4770,4410,4350,3180,4473,4560,3990,3690,4490,4520,4080,3750,3220,3020,2470,1880,1870,1870,1590,1370,1367,1400,1450,1430,1360,1300,1302,1330,1160,1132,1140,1070,1070,1070,920,1020,920,725,600,725,742,539
Mou topor,6150,6450,6090,6180,6330,6450,6220,5535,5820,5100,5250,4950,4950,5250,5250,5550,5390,5250,4455,4582,4325,4257,4312,3840,4490,3902,2440,3700,2800,2820,2440,2330,2220,1690,1650,1650,1690,1620,1660,1500,1425,1550,1360,1220,1100,995,783,750,905,750,798,520,628
JediSevillano,6210,6165,6225,6140,5710,5570,6200,6015,5632,5740,6185,5332,5400,5320,4640,4395,4650,5040,4560,4860,4465,4350,4350,4050,3900,3900,3532,3360,3300,3300,3150,2550,2700,2550,2460,2550,2220,1880,1740,1500,1720,1760,1550,1370,1250,1360,1335,1270,1140,1030,1040,900,1040
R3CO,5625,5535,5080,6160,5515,5010,5500,4980,5060,4960,5465,5945,5600,4510,5720,5100,5180,5235,5055,4650,4490,4290,4570,4340,3980,4442,4267,3700,3600,3300,3310,3220,3220,2850,2682,2700,2590,2572,2390,2330,2315,2060,2060,2070,1765,1660,1560,1650,1340,1390,1440,1880,1420
Mhann Uhdea,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,5100,5100,5100,4340,5100,4200,4770,4800,4650,4650,4650,4650,4350,3750,3750,3000,3450,3750,3750,3600,3600,3300,3300,3100,2700,2060,2060,1840
castortroy,5850,5850,5700,5700,5550,5250																																															
Kaneris,0,4560,5550,5260,5647,5700,5700,5385,5400,5385,5700,5370,5130,5100,4780,4740,3690,3682,3982,3592,3615,3592,3525,3720,3600,3502,3495,2100,2840,2740,2090,2215,1950,2240,2212,1800,2020,1500,1510,1710,1730,1260,1610,1420									
Last Order,5550,5550,5550,5550,5550,5550,5550,5550,5550,5500,5550,5550,5550,5100,5550,4800,4950,4110,4050,3082,2257,2632,2467																														
Was,5475,4062,4885,4120,2000,2037,1500,1500,1500,1500,1500,1480,1480,1450,1500,1310,1445,1415,0,1465,1180,992,1202,1000,1040,1325,890,658,605,650,625,645,600																				
